Name;Hex triplet;Red;Green;Blue;Hue;Satur;Light;Satur;Value;W3C name
Gold (web) (Golden);#FFD700;100%;84%;0%;51°;100%;50%;100%;100%;Gold
Golden brown;#996515;60%;40%;8%;36°;76%;34%;83%;60%; 
Golden poppy;#FCC200;99%;76%;0%;46°;100%;49%;100%;99%; 
Golden yellow;#FFDF00;100%;87%;0%;52°;100%;50%;100%;100%; 
Goldenrod;#DAA520;85%;65%;13%;43°;74%;49%;85%;85%; 
Granny Smith Apple;#A8E4A0;66%;89%;63%;113°;56%;76%;30%;89%; 
Gray;#808080;50%;50%;50%;—;0%;50%;0%;50%;Grey
Gray (HTML/CSS gray);#808080;50%;50%;50%;—;0%;50%;0%;50%; 
Gray (X11 gray);#BEBEBE;75%;75%;75%;—;0%;75%;0%;75%; 
Gray-asparagus;#465945;27%;35%;27%;117°;13%;31%;22%;35%; 
Gray-blue;#8C92AC;55%;57%;67%;229°;16%;61%;19%;68%; 
Green (color wheel) (X11 green);#00FF00;0%;100%;0%;120°;100%;50%;100%;100%;Lime
Green (Crayola);#1CAC78;11%;67%;47%;159°;72%;39%;72%;78%; 
Green (HTML/CSS color);#008000;0%;50%;0%;120°;100%;25%;100%;50%;Green
Green (Munsell);#00A877;0%;66%;47%;163°;100%;33%;100%;66%; 
Green (NCS);#009F6B;0%;62%;42%;160°;100%;31%;100%;62%; 
Green (pigment);#00A550;0%;65%;31%;149°;100%;32%;100%;65%; 
Green (RYB);#66B032;40%;69%;20%;95°;56%;44%;72%;69%; 
Green-yellow;#ADFF2F;68%;100%;18%;84°;100%;59%;82%;100%; 
Grullo;#A99A86;66%;60%;53%;34°;17%;59%;21%;66%; 
Guppie green;#00FF7F;0%;100%;50%;150°;100%;50%;100%;100%; 
Halayà úbe;#663854;40%;22%;33%;278°;30%;31%;12%;37%; 
Han blue;#446CCF;27%;42%;81%;223°;59%;54%;67%;81%; 
Han purple;#5218FA;32%;9%;98%;255°;96%;54%;90%;98%; 
Hansa yellow;#E9D66B;91%;84%;42%;51°;74%;67%;54%;91%; 
Harlequin;#3FFF00;25%;100%;0%;105°;100%;50%;100%;100%; 
Harvard crimson;#C90016;79%;0%;9%;353°;100%;39%;100%;79%; 
Harvest Gold;#DA9100;85%;57%;0%;40°;100%;43%;100%;86%; 
Heart Gold;#808000;50%;50%;0%;43°;100%;25%;100%;25%; 
Heliotrope;#DF73FF;87%;45%;100%;286°;100%;73%;55%;100%; 
Hollywood cerise;#F400A1;96%;0%;63%;320°;100%;48%;100%;96%; 
Honeydew;#F0FFF0;94%;100%;94%;150°;100%;97%;97%;97%; 
Honolulu Blue;#007FBF;0%;50%;75%;199°;100%;38%;100%;75%; 
Hooker's green;#49796B;29%;47%;42%;163°;25%;38%;40%;48%; 
Hot magenta;#FF1DCE;100%;11%;81%;313°;100%;56%;89%;100%; 
Hot pink;#FF69B4;100%;41%;71%;330°;100%;71%;59%;100%; 
Hunter green;#355E3B;21%;37%;23%;129°;28%;29%;44%;37%; 
Iceberg;#71A6D2;44%;65%;82%;207°;52%;63%;46%;82%; 
Icterine;#FCF75E;99%;97%;37%;58°;96%;68%;63%;99%; 
Imperial;#602F6B;38%;18%;42%;289°;39%;30%;56%;42%; 
Imperial blue;#002395;0%;14%;58%;226°;100%;29%;100%;58%; 
Inchworm;#B2EC5D;70%;93%;36%;84°;79%;65%;61%;93%; 
India green;#138808;7%;53%;3%;115°;89%;28%;94%;53%; 
Indian red;#CD5C5C;80%;36%;36%;0°;53%;58%;55%;80%; 
Indian yellow;#E3A857;89%;66%;34%;35°;71%;62%;62%;89%; 
Indigo;#6F00FF;44%;0%;100%;266°;100%;50%;100%;100%; 
Indigo (dye);#00416A;0%;25%;42%;203°;100%;21%;100%;42%; 
Indigo (web);#4B0082;29%;0%;51%;275°;100%;26%;100%;50%; 
International Klein Blue;#002FA7;0%;18%;65%;223°;100%;33%;100%;65%; 
International orange (aerospace);#FF4F00;100%;31%;0%;19°;100%;50%;100%;100%; 
International orange (engineering);#BA160C;73%;9%;5%;3°;88%;39%;94%;73%; 
International orange (Golden Gate Bridge);#C0362C;75%;21%;17%;4°;63%;46%;77%;75%; 
Iris;#5A4FCF;35%;31%;81%;245°;57%;56%;62%;81%; 
Irresistible;#B3446C;70%;27%;42%;338°;45%;48%;62%;70%; 
Isabelline;#F4F0EC;96%;94%;93%;30°;27%;94%;3%;96%; 
Islamic green;#009000;0%;56%;0%;120°;100%;28%;100%;56%; 
Ivory;#FFFFF0;100%;100%;94%;60°;100%;97%;6%;100%; 
Jade;#00A86B;0%;66%;42%;158°;100%;33%;100%;66%; 
Jasmine;#F8DE7E;97%;87%;49%;47°;90%;73%;49%;97%; 
Jasper;#D73B3E;84%;23%;24%;359°;66%;54%;73%;84%; 
Jazzberry jam;#A50B5E;65%;4%;37%;322°;88%;35%;90%;47%; 
Jet;#343434;20%;20%;20%;—;0%;20%;0%;20%; 
Jonquil;#F4CA16;96%;79%;9%;49°;91%;52%;91%;96%; 
June bud;#BDDA57;74%;85%;34%;80°;64%;60%;75%;85%; 
Jungle green;#29AB87;16%;67%;53%;163°;61%;42%;76%;67%; 
Kelly green;#4CBB17;30%;73%;9%;101°;78%;41%;88%;73%; 
Kenyan copper;#7C1C05;49%;11%;2%;12°;92%;25%;96%;49%; 
Khaki (HTML/CSS) (Khaki);#C3B091;76%;69%;57%;37°;29%;67%;26%;76%; 
Khaki (X11) (Light khaki);#F0E68C;94%;90%;55%;54°;77%;75%;42%;94%; 
Kobi;#E79FC4;91%;62%;77%;329°;60%;77%;31%;91%; 
KU Crimson;#E8000D;91%;0%;5%;357°;100%;46%;100%;91%; 
La Salle Green;#087830;3%;47%;19%;141°;88%;25%;93%;47%; 
Languid lavender;#D6CADD;84%;79%;87%;270°;22%;83%;17%;82%; 
Lapis lazuli;#26619C;15%;38%;61%;210°;61%;38%;76%;61%; 
Laser Lemon;#FEFE22;100%;100%;13%;60°;99%;57%;87%;100%; 
Laurel green;#A9BA9D;66%;73%;62%;95°;17%;67%;16%;73%; 
Lava;#CF1020;81%;6%;13%;355°;86%;44%;92%;81%; 
Lavender (floral);#B57EDC;71%;49%;86%;275°;57%;68%;43%;86%; 
Lavender (web);#E6E6FA;90%;90%;98%;245°;67%;94%;8%;98%; 
Lavender blue;#CCCCFF;80%;80%;100%;240°;100%;90%;20%;100%; 
Lavender blush;#FFF0F5;100%;94%;96%;340°;100%;97%;6%;100%; 
Lavender gray;#C4C3D0;77%;76%;82%;245°;12%;79%;6%;82%; 
Lavender indigo;#9457EB;58%;34%;92%;265°;79%;63%;63%;92%; 
Lavender magenta;#EE82EE;93%;51%;93%;300°;76%;72%;45%;93%; 
Lavender mist;#E6E6FA;90%;90%;98%;240°;67%;94%;8%;98%; 
Lavender pink;#FBAED2;98%;68%;82%;332°;91%;83%;31%;98%; 
Lavender purple;#967BB6;59%;48%;71%;267°;29%;60%;32%;71%; 
Lavender rose;#FBA0E3;98%;63%;89%;316°;92%;81%;36%;98%; 
Lawn green;#7CFC00;49%;99%;0%;90°;100%;49%;98%;48%; 
Lemon;#FFF700;100%;97%;0%;58°;100%;50%;100%;100%; 
Lemon chiffon;#FFFACD;100%;98%;80%;54°;100%;90%;20%;100%; 
Lemon curry;#CCA01D;80%;63%;11%;45°;75%;46%;86%;80%; 
Lemon lime;#E3FF00;89%;100%;0%;44°;100%;50%;240%;100%; 
Lemon meringue;#F6EABE;96%;92%;75%;47°;76%;86%;23%;97%; 
Lemon yellow;#FFF44F;100%;96%;31%;56°;100%;66%;69%;100%; 
Licorice;#1A1110;10%;7%;6%;6°;24%;8%;39%;10%; 
Light apricot;#FDD5B1;99%;84%;69%;30°;95%;84%;22%;89%; 
Light blue;#ADD8E6;68%;85%;90%;194°;53%;79%;24%;90%; 
Light brown;#B5651D;71%;40%;11%;28°;72%;41%;84%;71%; 
Light carmine pink;#E66771;90%;40%;44%;350°;72%;65%;70%;80%; 
Light coral;#F08080;94%;50%;50%;0°;79%;72%;50%;100%; 
Light cornflower blue;#93CCEA;58%;80%;92%;201°;67%;75%;37%;92%; 
Light crimson;#F56991;96%;41%;57%;343°;88%;69%;57%;96%; 
Light cyan;#E0FFFF;88%;100%;100%;180°;100%;94%;12%;100%; 
Light fuchsia pink;#F984EF;98%;52%;94%;300°;91%;75%;27%;94%; 
Light goldenrod yellow;#FAFAD2;98%;98%;82%;60°;80%;90%;16%;98%; 
Light gray;#D3D3D3;83%;83%;83%;—;0%;83%;0%;83%; 
Light green;#90EE90;56%;93%;56%;120°;73%;75%;39%;93%; 
Light khaki;#F0E68C;94%;90%;55%;54°;77%;75%;42%;94%; 
Light medium orchid;#D39BCB;83%;61%;80%;309°;39%;72%;27%;83%; 
Light orchid;#E6A8D7;90%;66%;84%;315°;55%;78%;27%;90%; 
Light pastel purple;#B19CD9;69%;61%;85%;261°;45%;73%;28%;85%; 
Light pink;#FFB6C1;100%;71%;76%;351°;100%;86%;100%;86%; 
Light red ochre;#E97451;91%;45%;32%;14°;78%;62%;65%;91%; 
Light salmon;#FFA07A;100%;63%;48%;14°;100%;74%;62%;100%; 
Light salmon pink;#FF9999;100%;60%;60%;0°;100%;80%;40%;100%; 
Light sea green;#20B2AA;13%;70%;67%;175°;70%;41%;40%;75%; 
Light sky blue;#87CEFA;53%;81%;98%;203°;92%;76%;46%;98%; 
Light slate gray;#778899;47%;53%;60%;210°;14%;53%;22%;60%; 
Light taupe;#B38B6D;70%;55%;43%;26°;32%;57%;39%;70%; 
Light Thulian pink;#E68FAC;90%;56%;67%;330°;64%;73%;72%;94%; 
Light yellow;#FFFFE0;100%;100%;88%;60°;100%;94%;7%;100%; 
Lilac;#C8A2C8;78%;64%;78%;300°;26%;71%;19%;78%; 
Lime (color wheel);#BFFF00;75%;100%;0%;75°;100%;50%;100%;100%; 
Lime (web) (X11 green);#00FF00;0%;100%;0%;120°;100%;50%;100%;100%;Lime
Lime green;#32CD32;20%;80%;20%;120°;61%;50%;67%;40%; 
Limerick;#9DC209;62%;76%;4%;72°;91%;40%;95%;76%; 
Lincoln green;#195905;10%;35%;2%;106°;89%;18%;94%;35%; 
Linen;#FAF0E6;98%;94%;90%;30°;67%;94%;8%;98%; 
Lion;#C19A6B;76%;60%;42%;33°;41%;59%;45%;76%; 
Little boy blue;#6CA0DC;42%;63%;86%;212°;62%;64%;51%;86%; 
Liver;#534B4F;33%;29%;31%;330°;5%;31%;10%;33%; 
Lust;#E62020;90%;13%;13%;0°;80%;51%;86%;90%; 
Magenta;#FF00FF;100%;0%;100%;300°;100%;50%;100%;100%;Fuchsia
Magenta (dye);#CA1F7B;79%;12%;48%;326°;73%;46%;90%;79%; 
Magenta (process);#FF0090;100%;0%;56%;326°;100%;50%;100%;100%; 
Magic mint;#AAF0D1;67%;94%;82%;150°;70%;80%;84%;80%; 
Magnolia;#F8F4FF;97%;96%;100%;247°;100%;98%;94%;92%; 
Mahogany;#C04000;75%;25%;0%;20°;100%;38%;100%;75%; 
Maize;#FBEC5D;98%;93%;36%;54°;95%;68%;63%;98%; 
Majorelle Blue;#6050DC;38%;31%;86%;247°;67%;59%;67%;59%; 
Malachite;#0BDA51;4%;85%;32%;140°;90%;45%;95%;85%; 
Manatee;#979AAA;59%;60%;67%;231°;10%;63%;11%;67%; 
Mango Tango;#FF8243;100%;51%;26%;20°;100%;63%;74%;100%; 
Mantis;#74C365;45%;76%;40%;110°;44%;58%;48%;77%; 
Mardi Gras;#880085;53%;0%;54%;301°;100%;27%;100%;53%; 
Maroon (Crayola);#C32148;76%;13%;28%;345°;71%;45%;75%;38%; 
Maroon (HTML/CSS);#800000;50%;0%;0%;0°;100%;25%;100%;50%;Maroon
Maroon (X11);#B03060;69%;19%;38%;333°;57%;44%;65%;42%; 
Mauve;#E0B0FF;88%;69%;100%;276°;100%;85%;31%;100%; 
Mauve taupe;#915F6D;57%;37%;43%;285°;21%;47%;37%;54%; 
Mauvelous;#EF98AA;94%;60%;67%;348°;73%;77%;37%;94%; 
Maya blue;#73C2FB;45%;76%;98%;210°;94%;72%;96%;87%; 
Meat brown;#E5B73B;90%;72%;23%;44°;77%;57%;74%;90%; 
Medium aquamarine;#66DDAA;40%;87%;67%;154°;64%;63%;54%;87%; 
Medium blue;#0000CD;0%;0%;80%;240°;100%;40%;100%;80%; 
Medium candy apple red;#E2062C;89%;2%;17%;350°;95%;46%;97%;89%; 
Medium carmine;#AF4035;69%;25%;21%;5°;54%;45%;69%;68%; 
Medium champagne;#F3E5AB;95%;90%;67%;48°;75%;81%;30%;95%; 
Medium electric blue;#035096;1%;31%;59%;180°;96%;30%;30%;60%; 
Medium jungle green;#1C352D;11%;21%;18%;120°;31%;16%;20%;20%; 
Medium lavender magenta;#DDA0DD;87%;63%;87%;200°;47%;75%;113%;179%; 
Medium orchid;#BA55D3;73%;33%;83%;288°;59%;58%;60%;83%; 
Medium Persian blue;#0067A5;0%;40%;65%;248°;100%;32%;75%;48%; 
Medium purple;#9370DB;58%;44%;86%;270°;60%;65%;68%;72%; 
Medium red-violet;#BB3385;73%;20%;52%;322°;57%;47%;79%;83%; 
Medium ruby;#AA4069;67%;25%;41%;337°;45%;46%;62%;67%; 
Medium sea green;#3CB371;24%;70%;44%;150°;50%;47%;42%;30%; 
Medium slate blue;#7B68EE;48%;41%;93%;249°;80%;67%;56%;93%; 
Medium spring bud;#C9DC87;79%;86%;53%;80°;55%;70%;70%;80%; 
Medium spring green;#00FA9A;0%;98%;60%;150°;100%;49%;97%;97%; 
Medium taupe;#674C47;40%;30%;28%;9°;18%;34%;31%;40%; 
Medium turquoise;#48D1CC;28%;82%;80%;175°;60%;55%;55%;50%; 
Medium Tuscan red;#79443B;47%;27%;23%;9°;34%;35%;51%;53%; 
Medium vermilion;#D9603B;85%;38%;23%;14°;68%;54%;73%;85%; 
Medium violet-red;#C71585;78%;8%;52%;322°;81%;43%;89%;78%; 
Mellow apricot;#F8B878;97%;72%;47%;30°;90%;72%;52%;97%; 
Mellow yellow;#F8DE7E;97%;87%;49%;47°;90%;73%;49%;97%; 
Melon;#FDBCB4;99%;74%;71%;7°;95%;85%;29%;99%; 
Mexican pink;#E4007C;89%;0%;49%;327°;100%;45%;100%;89%; 
Midnight blue;#191970;10%;10%;44%;240°;64%;27%;78%;44%; 
Midnight green (eagle green);#004953;0%;29%;33%;187°;100%;16%;100%;33%; 
Midori;#E3F988;89%;98%;53%;72°;90%;76%;45%;98%; 
Mikado yellow;#FFC40C;100%;77%;5%;45°;100%;52%;95%;100%; 
Mint;#3EB489;24%;71%;54%;158°;49%;48%;66%;71%; 
Mint cream;#F5FFFA;96%;100%;98%;150°;100%;98%;4%;100%; 
Mint green;#98FF98;60%;100%;60%;140°;100%;80%;40%;100%; 
Misty rose;#FFE4E1;100%;89%;88%;6°;100%;94%;12%;100%; 
Moccasin;#FAEBD7;98%;92%;84%;34°;78%;91%;14%;98%; 
Mode beige;#967117;59%;44%;9%;43°;73%;34%;85%;59%; 
Moonstone blue;#73A9C2;45%;66%;76%;199°;39%;61%;41%;76%; 
Mordant red 19;#AE0C00;68%;5%;0%;4°;100%;34%;100%;68%; 
Moss green;#ADDFAD;68%;87%;68%;120°;44%;78%;22%;87%; 
Mountain Meadow;#30BA8F;19%;73%;56%;161°;59%;46%;74%;73%; 
Mountbatten pink;#997A8D;60%;48%;55%;323°;13%;54%;20%;60%; 
Mulberry;#C54B8C;77%;29%;55%;285°;51%;53%;67%;70%; 
Mustard;#FFDB58;100%;86%;35%;47°;100%;67%;65%;100%; 
Myrtle;#21421E;13%;26%;12%;115°;38%;19%;54%;26%; 
MSU Green;#18453B;9%;27%;23%;167°;48%;18%;65%;27%; 
Nadeshiko pink;#F6ADC6;96%;68%;78%;339°;80%;82%;30%;96%; 
Napier green;#2A8000;16%;50%;0%;100°;100%;25%;100%;50%; 
Naples yellow;#FADA5E;98%;85%;37%;48°;94%;68%;62%;98%; 
Navajo white;#FFDEAD;100%;87%;68%;32°;100%;84%;27%;100%; 
Navy blue;#000080;0%;0%;50%;240°;100%;25%;100%;50%; 
Navy purple;#9457EB;58%;34%;92%;265°;79%;63%;63%;92%; 
Neon Carrot;#FFA343;100%;64%;26%;31°;100%;63%;74%;100%; 
Neon fuchsia;#FE4164;100%;25%;39%;322°;99%;63%;65%;100%; 
Neon green;#39FF14;22%;100%;8%;111°;100%;54%;92%;100%; 
New York pink;#D7837F;84%;51%;50%;3°;52%;67%;41%;84%; 
Non-photo blue;#A4DDED;64%;87%;93%;193°;67%;79%;31%;93%; 
North Texas Green;#059033;2%;56%;20%;140°;93%;29%;97%;56%; 
Nyanza;#E9FFDB;91%;100%;86%;97°;100%;93%;14%;100%; 
Ocean Boat Blue;#0077BE;0%;47%;75%;30°;100%;37%;83%;80%; 
Ochre;#CC7722;80%;47%;13%;30°;71%;47%;83%;80%; 
Office green;#008000;0%;50%;0%;120°;100%;25%;80%;50%;Green
Old burgundy;#43302E;26%;19%;18%;6°;19%;22%;31%;26%; 
Old gold;#CFB53B;81%;71%;23%;49°;61%;52%;71%;81%; 
Old lace;#FDF5E6;99%;96%;90%;40°;85%;95%;6%;100%; 
Old lavender;#796878;47%;41%;47%;270°;8%;44%;3%;22%; 
Old mauve;#673147;40%;19%;28%;336°;36%;30%;52%;40%; 
Old rose;#C08081;75%;50%;51%;330°;34%;63%;59%;57%; 
Old silver;#848482;52%;52%;51%;60°;1%;51%;2%;52%; 
Olive;#808000;50%;50%;0%;60°;100%;25%;100%;50%; 
Olive Drab (web) (Olive Drab #3);#6B8E23;42%;56%;14%;80°;61%;35%;75%;56%; 
Olive Drab #7;#3C341F;24%;20%;12%;31°;32%;18%;81%;46%; 
Olivine;#9AB973;60%;73%;45%;58°;33%;59%;80%;141%; 
Onyx;#353839;21%;22%;22%;195°;4%;22%;7%;22%; 
Opera mauve;#B784A7;72%;52%;65%;276°;26%;62%;20%;62%; 
Orange (color wheel);#FF7F00;100%;50%;0%;30°;100%;50%;100%;100%; 
Orange (RYB);#FB9902;98%;60%;1%;60°;98%;50%;100%;73%; 
Orange (web color);#FFA500;100%;65%;0%;39°;100%;50%;100%;100%; 
Orange peel;#FF9F00;100%;62%;0%;38°;100%;50%;100%;100%; 
Orange-red;#FF4500;100%;27%;0%;5°;100%;50%;100%;52%; 
Orchid;#DA70D6;85%;44%;84%;302°;59%;65%;49%;85%; 
Orchid pink;#F28DCD;95%;74%;80%;322°;67%;85%;22%;95%; 
Otter brown;#654321;40%;26%;13%;30°;51%;26%;67%;40%; 
Outer Space;#414A4C;25%;29%;30%;191°;8%;28%;15%;30%; 
Outrageous Orange;#FF6E4A;100%;43%;29%;12°;100%;65%;71%;100%; 
Oxford Blue;#002147;0%;13%;28%;212°;100%;14%;100%;28%; 
OU Crimson Red;#990000;60%;0%;0%;0°;100%;30%;100%;60%; 
Pakistan green;#006600;0%;40%;0%;120°;100%;20%;100%;40%; 
Palatinate blue;#273BE2;15%;23%;89%;224°;76%;52%;84%;77%; 
Palatinate purple;#682860;41%;16%;38%;277°;44%;28%;47%;44%; 
Pale aqua;#BCD4E6;74%;83%;90%;206°;46%;82%;18%;90%; 
Pale blue;#AFEEEE;69%;93%;93%;180°;65%;81%;26%;93%; 
Pale brown;#987654;60%;46%;33%;30°;29%;46%;45%;60%; 
Pale carmine;#AF4035;69%;25%;21%;5°;54%;45%;69%;68%; 
Pale cerulean;#9BC4E2;61%;77%;89%;205°;55%;75%;31%;89%; 
Pale chestnut;#DDADAF;87%;68%;69%;358°;41%;77%;22%;87%; 
Pale copper;#DA8A67;85%;54%;40%;18°;61%;63%;53%;85%; 
Pale cornflower blue;#ABCDEF;67%;80%;94%;210°;68%;80%;28%;94%; 
Pale gold;#E6BE8A;90%;75%;54%;50°;65%;72%;47%;82%; 
Pale goldenrod;#EEE8AA;93%;91%;67%;55°;67%;80%;29%;93%; 
Pale green;#98FB98;60%;98%;60%;120°;93%;79%;39%;98%; 
Pale lavender;#DCD0FF;86%;82%;100%;255°;100%;91%;18%;100%; 
Pale magenta;#F984E5;98%;52%;90%;310°;91%;75%;47%;98%; 
Pale pink;#FADADD;98%;85%;87%;354°;76%;92%;13%;98%; 
Pale plum;#DDA0DD;87%;63%;87%;300°;47%;75%;28%;87%; 
Pale red-violet;#DB7093;86%;44%;58%;340°;60%;65%;49%;86%; 
Pale robin egg blue;#96DED1;59%;87%;82%;169°;52%;73%;32%;87%; 
Pale silver;#C9C0BB;79%;75%;73%;0°;12%;76%;0%;80%; 
Pale spring bud;#ECEBBD;93%;92%;74%;80°;55%;83%;60%;90%; 
Pale taupe;#BC987E;74%;60%;49%;25°;32%;62%;33%;74%; 
Pale violet-red;#DB7093;86%;44%;58%;340°;60%;65%;49%;86%; 
Pansy purple;#78184A;47%;9%;29%;287°;67%;28%;36%;27%; 
Papaya whip;#FFEFD5;100%;94%;84%;37°;100%;92%;16%;100%; 
Paris Green;#50C878;31%;78%;47%;140°;52%;55%;60%;78%; 
Pastel blue;#AEC6CF;68%;78%;81%;196°;26%;75%;16%;81%; 
Pastel brown;#836953;51%;41%;33%;28°;22%;42%;37%;51%; 
Pastel gray;#CFCFC4;81%;81%;77%;60°;10%;79%;5%;81%; 
Pastel green;#77DD77;47%;87%;47%;120°;60%;67%;46%;87%; 
Pastel magenta;#F49AC2;96%;60%;76%;333°;80%;78%;37%;96%; 
Pastel orange;#FFB347;100%;70%;28%;35°;100%;64%;72%;100%; 
Pastel pink;#DEA5A4;87%;65%;64%;1°;47%;76%;26%;87%; 
Pastel purple;#B39EB5;70%;62%;71%;295°;14%;67%;13%;71%; 
Pastel red;#FF6961;100%;41%;38%;3°;100%;69%;62%;100%; 
Pastel violet;#CB99C9;80%;60%;79%;302°;33%;70%;25%;80%; 
Pastel yellow;#FDFD96;99%;99%;59%;60°;96%;79%;41%;99%; 
Patriarch;#800080;50%;0%;50%;300°;100%;25%;100%;50%; 
Payne's grey;#536878;33%;41%;47%;206°;18%;40%;31%;47%; 
Peach;#FFE5B4;100%;90%;71%;39°;100%;85%;29%;100%; 
Peach (Crayola);#FFCBA4;100%;80%;64%;40°;100%;82%;34%;100%; 
Peach-orange;#FFCC99;100%;80%;60%;30°;100%;80%;40%;100%; 
Peach puff;#FFDAB9;100%;85%;73%;40°;100%;86%;29%;100%; 
Peach-yellow;#FADFAD;98%;87%;68%;39°;89%;83%;31%;98%; 
Pear;#D1E231;82%;89%;19%;66°;75%;54%;78%;89%; 
Pearl;#EAE0C8;92%;88%;78%;42°;45%;85%;15%;92%; 
Pearl Aqua;#88D8C0;53%;85%;75%;162°;51%;69%;37%;85%; 
Pearly purple;#B768A2;72%;41%;64%;316°;35%;56%;43%;72%; 
Peridot;#E6E200;90%;89%;0%;59°;100%;45%;100%;90%; 
Periwinkle;#CCCCFF;80%;80%;100%;240°;100%;90%;20%;100%; 
Persian blue;#1C39BB;11%;22%;73%;248°;74%;42%;75%;50%; 
Persian green;#00A693;0%;65%;58%;135°;100%;33%;75%;60%; 
Persian indigo;#32127A;20%;7%;48%;249°;74%;28%;85%;49%; 
Persian orange;#D99058;85%;56%;35%;26°;63%;60%;59%;85%; 
Persian pink;#F77FBE;97%;50%;75%;330°;88%;73%;72%;77%; 
Persian plum;#701C1C;44%;11%;11%;0°;60%;28%;75%;44%; 
Persian red;#CC3333;80%;20%;20%;5°;60%;50%;50%;50%; 
Persian rose;#FE28A2;100%;16%;64%;318°;99%;58%;96%;88%; 
Persimmon;#EC5800;93%;35%;0%;22°;100%;46%;85%;94%; 
Peru;#CD853F;80%;52%;25%;30°;59%;53%;69%;80%; 
Phlox;#DF00FF;87%;0%;100%;292°;100%;50%;100%;100%; 
Phthalo blue;#000F89;0%;6%;54%;233°;100%;27%;100%;54%; 
Phthalo green;#123524;7%;21%;14%;151°;49%;14%;66%;21%; 
Piggy pink;#FDDDE6;99%;87%;90%;343°;89%;93%;13%;99%; 
Pine green;#01796F;0%;47%;44%;175°;98%;24%;99%;47%; 
Pink;#FFC0CB;100%;75%;80%;350°;100%;88%;25%;100%; 
Pink lace;#FFDDF4;100%;87%;96%;3°;100%;93%;41%;84%; 
Pink-orange;#FF9966;100%;60%;40%;20°;100%;70%;60%;100%; 
Pink pearl;#E7ACCF;91%;67%;81%;324°;55%;79%;26%;91%; 
Pink Sherbet;#F78FA7;97%;56%;65%;346°;87%;77%;42%;97%; 
Pistachio;#93C572;58%;77%;45%;96°;42%;61%;42%;77%; 
Platinum;#E5E4E2;90%;89%;89%;40°;6%;89%;1%;90%; 
Plum (traditional);#8E4585;56%;27%;52%;307°;35%;41%;51%;56%; 
Plum (web);#DDA0DD;80%;60%;80%;300°;33%;70%;28%;87%; 
Pomp and Power;#86608E;53%;38%;56%;290°;19%;47%;32%;56%; 
Portland Orange;#FF5A36;100%;35%;21%;11°;100%;61%;79%;100%; 
Powder blue (web);#B0E0E6;69%;88%;90%;220°;52%;80%;70%;90%; 
Princeton orange;#FF8F00;100%;56%;0%;34°;100%;50%;100%;100%; 
Prune;#701C1C;44%;11%;11%;0°;60%;28%;75%;44%; 
Prussian blue;#003153;0%;19%;33%;205°;100%;16%;100%;33%; 
Psychedelic purple;#DF00FF;87%;0%;100%;292°;100%;50%;100%;100%; 
Puce;#CC8899;80%;53%;60%;345°;40%;67%;33%;80%; 
Pumpkin;#FF7518;100%;46%;9%;24°;100%;55%;90%;100%; 
Purple (HTML/CSS);#800080;50%;0%;50%;300°;100%;25%;100%;50%;Purple
Purple (Munsell);#9F00C5;62%;0%;77%;288°;100%;39%;100%;77%; 
Purple (X11);#A020F0;63%;13%;94%;285°;87%;53%;97%;77%; 
Purple Heart;#69359C;41%;21%;61%;270°;49%;41%;66%;61%; 
Purple mountain majesty;#9678B6;59%;47%;71%;260°;30%;59%;34%;71%; 
Purple pizzazz;#FE4EDA;100%;31%;85%;312°;99%;65%;69%;100%; 
Purple taupe;#50404D;31%;25%;30%;285°;11%;28%;19%;33%; 
Quartz;#51484F;32%;28%;31%;345°;6%;30%;84%;84%; 
Queen blue;#436B95;26%;42%;58%;211°;38%;42%;56%;58%; 
Queen pink;#E8CCD7;91%;80%;84%;336°;38%;86%;12%;91%; 
Rackley;#5D8AA8;36%;54%;66%;204°;30%;51%;45%;66%; 
Radical Red;#FF355E;100%;21%;37%;345°;100%;60%;84%;84%; 
Rajah;#FBAB60;98%;68%;38%;29°;95%;68%;62%;98%; 
Raspberry;#E30B5D;89%;4%;36%;337°;91%;47%;95%;89%; 
Raspberry glace;#915F6D;57%;37%;43%;333°;21%;47%;35%;57%; 
Raspberry pink;#E25098;89%;31%;60%;330°;72%;60%;65%;89%; 
Raspberry rose;#B3446C;70%;27%;42%;38°;45%;48%;62%;70%; 
Raw umber;#826644;51%;40%;27%;33°;31%;39%;48%;51%; 
Razzle dazzle rose;#FF33CC;100%;20%;80%;312°;100%;60%;51%;204%; 
Razzmatazz;#E3256B;89%;15%;42%;338°;77%;52%;84%;89%; 
Red;#FF0000;100%;0%;0%;0°;100%;50%;100%;100%;Red
Red (Munsell);#F2003C;95%;0%;24%;345°;100%;48%;100%;95%; 
Red (NCS);#C40233;77%;1%;20%;358°;98%;39%;88%;93%; 
Red (pigment);#ED1C24;93%;11%;14%;0°;85%;52%;100%;65%; 
Red (RYB);#FE2712;100%;15%;7%;0°;99%;53%;100%;87%; 
Red-brown;#A52A2A;65%;16%;16%;0°;59%;41%;75%;65%; 
Red devil;#860111;53%;0%;7%;353°;99%;27%;99%;53%; 
Red-orange;#FF5349;100%;33%;29%;3°;100%;64%;71%;100%; 
Red-violet;#C71585;78%;8%;52%;322°;81%;43%;89%;78%; 
Redwood;#AB4E52;67%;31%;32%;348°;37%;49%;54%;67%; 
